##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	proband_R2_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2392554
Sequences flagged as poor quality	0
Sequence length	101
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.333138980353212	32.0	32.0	33.0	31.0	33.0
2	34.17305983480415	35.0	33.0	38.0	31.0	40.0
3	34.02398315774691	34.0	32.0	37.0	31.0	40.0
4	33.97979188766482	33.0	32.0	39.0	30.0	41.0
5	33.72979920202428	33.0	32.0	39.0	30.0	41.0
6	33.935401667005216	34.0	32.0	40.0	30.0	41.0
7	34.52812977261955	34.0	32.0	40.0	30.0	42.0
8	34.529186802053374	34.0	32.0	40.0	30.0	42.0
9	34.564597915031385	34.0	32.0	40.0	30.0	42.0
10-11	34.67325941232674	34.0	32.0	40.0	30.0	42.0
12-13	34.795794786658945	34.0	33.0	41.0	30.0	42.0
14-15	34.86549081023877	34.0	33.0	40.5	30.0	42.5
16-17	34.4368858550319	34.5	32.5	40.5	28.5	42.5
18-19	34.87478527130422	35.0	33.0	40.5	30.0	43.0
20-21	34.501872476023536	34.5	32.5	40.5	28.5	42.5
22-23	34.8943543176037	35.0	33.0	41.0	30.0	43.0
24-25	34.88233933277995	35.0	33.0	41.0	30.0	43.0
26-27	33.4560080984588	34.0	30.5	40.0	26.0	42.5
28-29	34.784402358316676	35.0	33.0	41.0	30.0	43.0
30-31	34.766844342907206	35.0	33.0	41.0	29.5	43.0
32-33	34.67261261396817	35.0	33.0	40.5	29.5	43.0
34-35	34.27340615927582	35.0	32.5	40.0	28.0	43.0
36-37	34.559701055859136	35.0	33.0	40.0	29.0	43.0
38-39	34.093721604611645	34.5	32.5	40.0	28.0	42.5
40-41	34.243796169281865	35.0	33.0	40.0	28.5	43.0
42-43	33.693476928838386	34.5	32.0	39.5	27.0	42.5
44-45	34.095860114338066	35.0	33.0	40.0	28.0	43.0
46-47	34.00239075063718	35.0	33.0	40.0	27.0	43.0
48-49	33.861529144169786	35.0	33.0	40.0	27.0	43.0
50-51	33.7675078598017	35.0	33.0	39.5	27.0	42.5
52-53	33.92321280940786	35.0	33.0	40.0	28.0	43.0
54-55	33.857915223648035	35.0	33.0	40.0	27.0	43.0
56-57	33.788465589491395	35.0	33.0	40.0	27.0	43.0
58-59	33.72445491303436	35.0	33.0	40.0	26.0	43.0
60-61	33.64513758101175	35.0	33.0	40.0	26.0	43.0
62-63	32.467066783027676	34.0	31.0	39.5	22.0	42.5
64-65	33.06562589600904	34.5	32.0	39.5	23.0	42.5
66-67	33.51008942744866	35.0	33.0	40.0	24.0	43.0
68-69	33.254624556018385	34.5	33.0	40.0	23.0	43.0
70-71	33.16456096706699	34.5	33.0	40.0	21.5	43.0
72-73	33.0194319543049	34.0	33.0	39.5	19.5	42.0
74-75	32.905244980886536	34.5	33.0	39.0	15.5	42.5
76-77	32.728099971829266	34.5	32.0	39.0	12.0	42.0
78-79	32.60564171174402	34.5	32.5	39.0	3.0	42.0
80-81	32.38715280825427	35.0	32.5	39.0	2.0	42.0
82-83	32.290404730676926	35.0	32.0	39.0	2.0	42.5
84-85	32.049484149574056	35.0	32.0	39.0	2.0	42.0
86-87	31.836845897731045	35.0	32.0	39.0	2.0	41.5
88-89	31.62605629799787	35.0	32.0	39.0	2.0	41.5
90-91	31.455830881978002	35.0	32.0	39.0	2.0	42.0
92-93	31.116493086467433	34.5	32.0	39.0	2.0	42.0
94-95	30.613712375979812	34.0	32.0	39.0	2.0	41.0
96-97	29.730567836713405	33.5	30.5	38.0	2.0	41.0
98-99	29.119646202342768	33.0	31.0	37.5	2.0	40.5
100-101	27.53892054265024	32.5	26.5	36.5	2.0	40.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.34874749436857044
1101	2	0.5890361930789325
1101	3	0.5251680674410366
1101	4	0.48749437046207333
1101	5	0.5055621151195311
1101	6	0.5286246766762801
1101	7	0.6494068913683506
1101	8	0.5871311411591407
1101	9	0.6221878718371627
1101	10-11	0.7115199912634367
1101	12-13	0.6980789210961191
1101	14-15	0.7901688716136164
1101	16-17	0.8796162831113534
1101	18-19	0.8044594285096949
1101	20-21	0.7997027774874752
1101	22-23	0.8988651991020973
1101	24-25	1.0085105807304657
1101	26-27	1.2445319159121553
1101	28-29	1.068407015768841
1101	30-31	1.0143300411962954
1101	32-33	0.8763007155973384
1101	34-35	1.0590334990039096
1101	36-37	1.0638552467114692
1101	38-39	1.1009162935484937
1101	40-41	1.0077799628464774
1101	42-43	1.0502230520383975
1101	44-45	0.9989950994791812
1101	46-47	0.9825397711067438
1101	48-49	1.1834626625941596
1101	50-51	1.0829244898704715
1101	52-53	1.0950610665585714
1101	54-55	1.2056333341217496
1101	56-57	1.0423155505230213
1101	58-59	1.0993005472586859
1101	60-61	1.1771921415411057
1101	62-63	1.372323695233142
1101	64-65	1.3899077258759647
1101	66-67	1.1800801328661237
1101	68-69	1.2995768664658627
1101	70-71	1.4013324218237173
1101	72-73	1.23174584020785
1101	74-75	1.3644108829087003
1101	76-77	1.3960220544729154
1101	78-79	1.3710073377080505
1101	80-81	1.4955205463493684
1101	82-83	1.5603087756496095
1101	84-85	1.5362113785669038
1101	86-87	1.6000550129064663
1101	88-89	1.553037745638239
1101	90-91	1.6896916454617745
1101	92-93	1.587589382932336
1101	94-95	1.6606262715107185
1101	96-97	1.643594509544858
1101	98-99	1.4557497879805297
1101	100-101	1.537049069169445
1102	1	0.45401960066454095
1102	2	0.591134100414493
1102	3	0.5141549901607547
1102	4	0.5991534474128031
1102	5	0.5495799709249098
1102	6	0.4814502230609321
1102	7	0.9742222665350013
1102	8	0.9198022468109812
1102	9	1.016970066962763
1102	10-11	0.8768275620050829
1102	12-13	0.7808537611877924
1102	14-15	1.0554110934030874
1102	16-17	1.1165942404791167
1102	18-19	1.0096124461707703
1102	20-21	1.1082136827108897
1102	22-23	0.9897517353454859
1102	24-25	0.8904008693893388
1102	26-27	1.2306678267529634
1102	28-29	1.0531322131264176
1102	30-31	1.0593197052015668
1102	32-33	1.0021524989309256
1102	34-35	1.1058688496038442
1102	36-37	1.0206315023850294
1102	38-39	1.008275259649423
1102	40-41	0.9526707608152236
1102	42-43	1.119786918000024
1102	44-45	0.9574533884975622
1102	46-47	0.8346818685646937
1102	48-49	0.9466648361489902
1102	50-51	0.9372401421616203
1102	52-53	0.9152097026566608
1102	54-55	0.9478629879408302
1102	56-57	1.0369161167557763
1102	58-59	1.0272670900931402
1102	60-61	1.0268483573686567
1102	62-63	1.2123797942190109
1102	64-65	1.2972150120032566
1102	66-67	1.1829273998194054
1102	68-69	1.0850446825750382
1102	70-71	1.1998561721420344
1102	72-73	1.2780445429656027
1102	74-75	1.16903773851935
1102	76-77	1.0287995160125263
1102	78-79	1.2505920629054117
1102	80-81	1.247261187780225
1102	82-83	1.2568589501631422
1102	84-85	1.1815347154454372
1102	86-87	1.2533805068621575
1102	88-89	1.213424858600181
1102	90-91	1.3514366684556158
1102	92-93	1.4624246062048059
1102	94-95	1.5922950478188191
1102	96-97	1.579266985839478
1102	98-99	1.6068466766963212
1102	100-101	1.3966010637168331
1103	1	0.35820755334714605
1103	2	0.421399598526186
1103	3	0.4995480530008578
1103	4	0.24532555951537205
1103	5	0.44231585782332417
1103	6	0.397784449460886
1103	7	0.4383558027004142
1103	8	0.469793353986546
1103	9	0.47702141829365985
1103	10-11	0.4892416611052042
1103	12-13	0.6769140507532967
1103	14-15	0.616346050906742
1103	16-17	0.6052902307613408
1103	18-19	0.703333355282318
1103	20-21	0.6576357437270204
1103	22-23	0.7097366553857469
1103	24-25	0.5594966015904461
