##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	proband_R1_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2392554
Sequences flagged as poor quality	0
Sequence length	101
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.479798993042582	32.0	32.0	33.0	29.0	33.0
2	33.6239495534897	33.0	31.0	37.0	30.0	39.0
3	34.27930696653033	34.0	32.0	37.0	31.0	39.0
4	35.47490798535791	35.0	33.0	40.0	30.0	42.0
5	35.135853151067856	34.0	33.0	40.0	30.0	42.0
6	35.69041701880083	35.0	33.0	41.0	31.0	42.0
7	35.86637375791727	35.0	34.0	41.0	31.0	42.0
8	35.95514918367569	35.0	34.0	41.0	31.0	43.0
9	35.87237780213111	35.0	33.0	41.0	31.0	43.0
10-11	35.9745545973048	35.0	33.0	41.0	31.0	43.0
12-13	36.051024135714385	35.0	33.5	41.0	31.0	43.0
14-15	35.93375551816176	35.0	33.0	41.0	31.0	43.0
16-17	35.96597548059522	35.0	33.0	41.0	31.0	43.0
18-19	35.97314292592769	35.0	33.0	41.0	31.0	43.0
20-21	35.991443035350514	35.0	33.0	41.0	31.0	43.0
22-23	36.043473208964144	35.0	33.0	41.0	31.0	43.0
24-25	36.011212704081075	35.0	33.0	41.5	30.5	43.0
26-27	35.98137450607176	35.0	33.0	41.5	31.0	43.0
28-29	35.70275341747772	35.0	33.0	41.0	30.0	43.0
30-31	35.85233248653949	35.0	33.0	41.0	31.0	43.0
32-33	35.86148881070187	36.0	33.0	41.0	31.0	43.0
34-35	35.82194863731394	35.5	33.5	41.0	30.5	43.0
36-37	35.83575334140839	36.0	33.5	41.0	31.0	43.0
38-39	35.6413474889177	35.5	33.0	41.0	31.0	43.0
40-41	35.510499240560506	35.0	33.0	41.0	30.0	43.0
42-43	35.47834030078318	35.0	33.0	41.0	30.5	43.0
44-45	35.58134320061323	36.0	33.0	41.0	31.0	43.0
46-47	35.367332356970834	35.5	33.0	41.0	30.0	43.0
48-49	35.38236879919952	35.0	33.0	41.0	30.0	43.0
50-51	35.315258924145496	35.0	33.0	40.5	30.0	43.0
52-53	35.223215024613864	35.0	33.0	41.0	30.0	43.0
54-55	35.08440979806517	35.0	33.0	40.5	30.0	43.0
56-57	35.0020787409605	35.0	33.0	40.5	30.5	43.0
58-59	34.97489147580368	35.0	33.0	40.0	30.0	43.0
60-61	34.94498828448595	35.0	33.0	40.0	30.0	43.0
62-63	34.84692633896664	35.0	33.0	40.0	30.0	43.0
64-65	34.69723609164098	35.0	33.0	40.0	30.0	43.0
66-67	34.55284791900203	35.0	33.0	40.0	29.5	43.0
68-69	34.371218998609855	35.0	33.0	40.0	29.0	43.0
70-71	34.22093712409416	35.0	33.0	40.0	29.0	43.0
72-73	34.12811455875186	35.0	33.0	40.0	28.0	43.0
74-75	33.96304555717447	35.0	33.0	40.0	27.0	43.0
76-77	33.61346264284944	35.0	33.0	39.5	27.5	42.0
78-79	33.801083486516916	35.0	33.0	40.0	27.5	43.0
80-81	33.71991959220148	35.0	33.0	40.0	26.5	43.0
82-83	33.573167627564516	35.0	33.0	40.0	25.0	42.5
84-85	33.42303705579895	35.0	33.0	40.0	24.0	43.0
86-87	33.17275618439542	35.0	33.0	39.5	22.5	42.5
88-89	32.90163544898046	35.0	32.5	39.0	17.5	42.0
90-91	32.500723076678725	35.0	32.5	39.0	6.0	42.0
92-93	32.36437171324033	35.0	32.5	39.0	2.0	42.0
94-95	31.886963470834928	34.5	32.0	39.0	2.0	42.0
96-97	31.125631229221995	34.0	32.0	38.5	2.0	41.0
98-99	30.209787114522808	33.5	31.0	38.0	2.0	41.0
100-101	28.255105213926207	32.5	28.0	36.5	2.0	39.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.40488546768939315
1101	2	0.4260643753652431
1101	3	0.4488311910284395
1101	4	0.2096011235514652
1101	5	0.5089264261057949
1101	6	0.47841704651011696
1101	7	0.5811578809769102
1101	8	0.5642611075674395
1101	9	0.5012463539819834
1101	10-11	0.6107080957399376
1101	12-13	0.6684030435887323
1101	14-15	0.7470939224080624
1101	16-17	0.7561348419666771
1101	18-19	0.8082754098442209
1101	20-21	0.7630263748270849
1101	22-23	0.91765281953694
1101	24-25	0.8173325724854763
1101	26-27	0.780586011649909
1101	28-29	0.9149555543314563
1101	30-31	0.9010248858820731
1101	32-33	0.8470386349068448
1101	34-35	0.808621951315402
1101	36-37	1.0135329013612093
1101	38-39	0.9838223459717739
1101	40-41	0.9836195612339154
1101	42-43	0.9326798014208393
1101	44-45	0.8206275434696693
1101	46-47	0.9863785581843061
1101	48-49	0.9982331300817648
1101	50-51	1.0085041053377353
1101	52-53	1.1060688072171345
1101	54-55	1.1928161877326104
1101	56-57	1.101105147760265
1101	58-59	1.1465188095141414
1101	60-61	1.0830102783526812
1101	62-63	1.089208095767468
1101	64-65	1.074566679831186
1101	66-67	1.1747709570320595
1101	68-69	1.0988012370440288
1101	70-71	1.247475193774747
1101	72-73	1.1021821975365569
1101	74-75	1.2024500715544164
1101	76-77	0.9667504235086426
1101	78-79	0.9975375289822139
1101	80-81	0.9431259839902921
1101	82-83	1.0906042758976824
1101	84-85	1.0270542701633616
1101	86-87	1.0600232074532343
1101	88-89	1.0643312036061232
1101	90-91	1.0767298424650065
1101	92-93	1.1611474282185554
1101	94-95	1.3301495302068354
1101	96-97	1.2490243930107425
1101	98-99	1.5469866330689932
1101	100-101	1.4314780940357288
1102	1	0.36874918235602294
1102	2	0.519712232518799
1102	3	0.4683186605073004
1102	4	0.6173078059967523
1102	5	0.26203958277850603
1102	6	0.34141231292412755
1102	7	0.6261640226549403
1102	8	0.5268496750584859
1102	9	0.540138530083361
1102	10-11	0.6128990644772969
1102	12-13	0.6625051602206966
1102	14-15	0.6591190658387092
1102	16-17	0.6207299406080224
1102	18-19	0.5566933660136115
1102	20-21	0.6474366239395337
1102	22-23	0.7129104329707445
1102	24-25	0.8739496688199395
1102	26-27	0.78773507466952
1102	28-29	0.9000209781821411
1102	30-31	0.7218049164406608
1102	32-33	0.8364751359479357
1102	34-35	0.9037705874134829
1102	36-37	0.7146773506324493
1102	38-39	0.9425796673013664
1102	40-41	0.8103169487738029
1102	42-43	0.8584628653691908
1102	44-45	0.9139222541367147
1102	46-47	1.0127128751847678
1102	48-49	0.8231398814336828
1102	50-51	0.8989843171507204
1102	52-53	1.0662950756234437
1102	54-55	0.8912214111548664
1102	56-57	0.8817187912733075
1102	58-59	0.8933429253372012
1102	60-61	0.9484277626614457
1102	62-63	0.9102394108355512
1102	64-65	0.973833048901092
1102	66-67	0.8331127788634802
1102	68-69	0.9296032503160419
1102	70-71	1.090967074775996
1102	72-73	0.9882905831740203
1102	74-75	1.1270400021983988
1102	76-77	1.0154865111099411
1102	78-79	1.097890113729882
1102	80-81	1.0150485913573135
1102	82-83	0.99673434465452
1102	84-85	1.0619796337956373
1102	86-87	1.1364635058489014
1102	88-89	1.099130175998532
1102	90-91	1.1487290335610751
1102	92-93	1.2983603796693473
1102	94-95	1.447763787887677
1102	96-97	1.2848157706939816
1102	98-99	1.3687991396226131
1102	100-101	1.5242839046623295
1103	1	0.21391754055142087
1103	2	0.3542583957380785
1103	3	0.35148870644724894
1103	4	0.27310573832046003
1103	5	0.3605927013217496
1103	6	0.37902423006570274
1103	7	0.32621037886742954
1103	8	0.4999727214752454
1103	9	0.5782647173700326
1103	10-11	0.41398540812630813
1103	12-13	0.4298486275897062
1103	14-15	0.566658194266239
1103	16-17	0.5604564578752331
1103	18-19	0.5608102707052396
1103	20-21	0.5321835379402486
1103	22-23	0.6046101166132445
1103	24-25	0.540528637100941
