##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	father_R2_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2023471
Sequences flagged as poor quality	0
Sequence length	101
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	30.473189385961053	31.0	31.0	32.0	30.0	32.0
2	32.183760973100185	33.0	31.0	35.0	25.0	39.0
3	33.953149316199735	35.0	33.0	37.0	31.0	39.0
4	33.91167108399379	34.0	32.0	39.0	30.0	40.0
5	33.802582295471495	34.0	32.0	38.0	30.0	40.0
6	33.8850583971799	34.0	32.0	39.0	30.0	40.0
7	34.37746624488317	34.0	33.0	39.0	31.0	41.0
8	34.734622833734704	35.0	33.0	39.0	31.0	41.0
9	33.46982635283629	34.0	31.0	39.0	27.0	42.0
10-11	33.467140621239444	34.0	31.0	39.0	26.0	42.0
12-13	34.877926592474026	35.0	33.0	39.0	31.0	42.0
14-15	34.836764401367745	35.0	33.0	39.0	31.0	42.0
16-17	34.74425726882174	35.0	33.0	39.5	30.5	42.0
18-19	34.907679180971705	35.0	33.0	40.0	31.0	42.0
20-21	33.91059224471218	34.5	32.0	38.5	27.5	41.5
22-23	34.93770901584456	35.0	33.0	40.0	30.5	42.0
24-25	33.92961500313076	34.5	32.0	38.5	27.0	41.5
26-27	34.77857330300262	35.0	33.0	40.0	30.0	42.0
28-29	34.79704181577102	35.0	33.0	40.0	30.0	42.0
30-31	34.74626569889067	35.0	33.0	40.0	30.0	43.0
32-33	34.64280115702177	35.0	33.0	39.5	30.0	42.5
34-35	33.68507109812792	34.5	31.5	38.5	27.0	42.0
36-37	34.02295165090085	34.5	32.5	39.5	27.0	42.5
38-39	34.40898041039382	35.0	33.0	39.5	29.0	42.0
40-41	34.44863133694528	35.0	33.0	40.0	29.0	42.0
42-43	34.202007095728085	35.0	33.0	39.5	28.5	42.0
44-45	34.19802433541177	35.0	33.0	39.5	28.0	42.5
46-47	34.19397411675285	35.0	33.0	40.0	28.0	42.0
48-49	33.60762743819902	34.5	32.0	39.5	26.5	42.5
50-51	32.867138940958384	34.5	31.5	38.5	25.0	41.0
52-53	33.99797476712045	35.0	33.5	39.0	28.5	42.0
54-55	33.97950674855236	35.0	33.0	39.0	28.0	42.0
56-57	33.88935497469447	35.0	33.0	39.5	27.5	42.0
58-59	33.787895650592475	35.0	33.0	39.5	28.0	42.0
60-61	33.895191727482135	35.0	33.5	40.0	28.0	42.0
62-63	33.69508458485444	35.0	33.0	39.0	27.5	42.0
64-65	33.664996681444904	35.0	33.0	39.0	27.0	41.5
66-67	33.51074218508691	35.0	33.0	39.0	25.5	42.0
68-69	33.38933421828136	35.0	33.0	39.0	24.5	41.5
70-71	33.29416853515568	35.0	33.0	39.0	23.5	42.0
72-73	33.19807894454628	35.0	33.0	39.0	23.0	41.5
74-75	32.99457664577352	35.0	33.0	39.0	20.5	41.0
76-77	32.45543227454211	34.5	32.5	38.5	16.5	41.0
78-79	32.7141147562777	35.0	33.0	39.0	14.0	41.0
80-81	32.61757816148588	35.0	33.0	39.0	8.0	41.0
82-83	32.4031169707893	35.0	33.0	39.0	2.0	41.0
84-85	32.30941140248612	35.0	33.0	39.0	2.0	41.0
86-87	31.582159813508568	34.5	32.0	38.0	2.0	41.0
88-89	31.78749880774175	35.0	33.0	38.5	2.0	41.0
90-91	31.015971812790994	34.5	31.5	38.5	2.0	41.0
92-93	30.448254756307357	34.0	30.5	38.0	2.0	40.5
94-95	30.87919841697756	35.0	32.5	38.5	2.0	41.0
96-97	29.81941327550531	34.0	31.0	37.5	2.0	40.5
98-99	28.34526612933914	33.0	28.5	36.5	2.0	40.0
100-101	27.25669307837869	32.5	26.0	36.0	2.0	39.5
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.5428653644809742
1101	2	1.2940145434874566
1101	3	0.8189168372068778
1101	4	0.6761551856295114
1101	5	0.8324129575794217
1101	6	0.9188534491459635
1101	7	1.0883782124500954
1101	8	1.0101810473223907
1101	9	1.2468516823150182
1101	10-11	1.4157955313565864
1101	12-13	1.076120694220407
1101	14-15	1.1884348297801068
1101	16-17	1.0757082647403422
1101	18-19	1.0185872383102605
1101	20-21	1.4799387869425473
1101	22-23	1.0396802965940637
1101	24-25	1.424089711816002
1101	26-27	1.1218663506512385
1101	28-29	0.9930854785182603
1101	30-31	1.2951542681771713
1101	32-33	1.2317360480667077
1101	34-35	1.3389534222977204
1101	36-37	1.448638211384015
1101	38-39	1.246106812282683
1101	40-41	1.2439679012587916
1101	42-43	1.4038361030432327
1101	44-45	1.144818578706797
1101	46-47	1.086120500606583
1101	48-49	1.16166664368275
1101	50-51	1.1262798841138775
1101	52-53	1.1000466843169079
1101	54-55	1.0028159692169893
1101	56-57	1.040825979107531
1101	58-59	1.0706872056061059
1101	60-61	1.1860199741249247
1101	62-63	1.2473151839475776
1101	64-65	1.2286820646072982
1101	66-67	1.1562766674374174
1101	68-69	1.124198920033841
1101	70-71	1.3216525574996254
1101	72-73	1.2790589585264627
1101	74-75	1.3990558643592337
1101	76-77	1.2840456543771026
1101	78-79	1.3453309986258333
1101	80-81	1.2668579654269578
1101	82-83	1.3641841765655798
1101	84-85	1.5499881721823385
1101	86-87	1.5554392442301435
1101	88-89	1.4427916565217167
1101	90-91	1.6836624272349496
1101	92-93	1.694545514329878
1101	94-95	1.7309845540655964
1101	96-97	1.818102436573927
1101	98-99	1.8558517899862252
1101	100-101	1.817404297981657
1102	1	0.3026987255276907
1102	2	0.864202766276982
1102	3	0.5079857000777892
1102	4	0.5613060279533926
1102	5	0.4916336897996558
1102	6	0.7095945702664963
1102	7	0.5730282576066088
1102	8	0.5989853288773404
1102	9	0.717674378599142
1102	10-11	1.0099460509010427
1102	12-13	0.6714058323471832
1102	14-15	0.7918253178943289
1102	16-17	0.77616366086243
1102	18-19	0.7392281673933425
1102	20-21	0.9308339292752308
1102	22-23	0.9218702897798252
1102	24-25	1.0441689557948592
1102	26-27	0.881455996930633
1102	28-29	0.8278656135639508
1102	30-31	0.8945112361372409
1102	32-33	0.9870154478925954
1102	34-35	1.0893051377562557
1102	36-37	0.9808085606704751
1102	38-39	0.7797129594374965
1102	40-41	0.9435433974098899
1102	42-43	0.9186305675391253
1102	44-45	0.9069680451426336
1102	46-47	0.9642309205132662
1102	48-49	0.9047957619732543
1102	50-51	0.8774283593886452
1102	52-53	0.8271334206908847
1102	54-55	0.8175352815338002
1102	56-57	0.7804542448039058
1102	58-59	0.8162901510498628
1102	60-61	0.7951532461627764
1102	62-63	0.8152296865249227
1102	64-65	0.9024229803227399
1102	66-67	0.9812650115137629
1102	68-69	0.7956375870526244
1102	70-71	0.8240990788177314
1102	72-73	0.8080275967559345
1102	74-75	0.7165595567602239
1102	76-77	0.7599500888447324
1102	78-79	0.8799865864593315
1102	80-81	0.838423298916787
1102	82-83	0.9638472144090287
1102	84-85	0.8695451003655421
1102	86-87	0.8026650528904113
1102	88-89	1.0187524143686808
1102	90-91	1.0088223497678825
1102	92-93	1.0628865585050136
1102	94-95	1.2226843952842081
1102	96-97	1.2753708423370078
1102	98-99	1.496496810869079
1102	100-101	1.0888238916708275
1103	1	0.37459492758972246
1103	2	0.9722764804093273
1103	3	0.5139506461746208
1103	4	0.6313708278282064
1103	5	0.6540932352160453
1103	6	0.6794164612870546
1103	7	0.5026390956525191
1103	8	0.5244755767707971
1103	9	0.6590638089550751
1103	10-11	0.9709567963016852
1103	12-13	0.6820906094026569
1103	14-15	0.6716683390835598
1103	16-17	0.8418129135342625
1103	18-19	0.7762810943724858
1103	20-21	0.9763974747082003
1103	22-23	0.8653272693160048
1103	24-25	0.9181355050486744
