##FastQC	0.11.8
>>Basic Statistics	pass
#Measure	Value
Filename	mother_R1_fq_gz.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1776099
Sequences flagged as poor quality	0
Sequence length	101
%GC	44
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.348557709902433	32.0	32.0	32.0	31.0	32.0
2	34.16728459393311	34.0	33.0	36.0	32.0	38.0
3	34.27308443954982	34.0	33.0	36.0	32.0	39.0
4	35.275291523727	34.0	33.0	39.0	31.0	41.0
5	34.85598944653423	34.0	33.0	39.0	31.0	41.0
6	33.9180822690627	34.0	31.0	39.0	27.0	41.0
7	34.30597111985312	34.0	31.0	39.0	28.0	41.0
8	35.71674439318979	35.0	34.0	40.0	31.0	42.0
9	35.67025599361297	35.0	33.0	40.0	31.0	42.0
10-11	35.68402831148489	35.0	34.0	40.0	31.0	42.0
12-13	35.47883986196716	35.0	33.5	40.0	30.5	42.0
14-15	35.2366523487711	35.0	33.0	40.0	30.0	42.0
16-17	35.738499092674445	35.0	33.0	40.0	32.0	42.5
18-19	35.775029150965125	35.0	33.5	40.0	31.0	43.0
20-21	35.70047756346915	35.0	33.5	40.0	31.5	43.0
22-23	35.131577969471294	35.0	33.0	39.5	29.5	42.0
24-25	35.62105969318152	35.0	33.5	40.0	31.0	43.0
26-27	35.10761421519859	35.0	33.0	39.5	29.5	42.5
28-29	34.91010608079842	35.0	33.0	39.5	29.0	43.0
30-31	34.06156329123546	34.5	32.0	38.5	26.5	42.5
32-33	35.313748557935114	35.5	33.5	40.0	30.0	43.0
34-35	30.566029258504173	31.5	27.5	35.5	23.0	39.0
36-37	35.147557090004554	35.0	33.5	39.5	29.5	43.0
38-39	31.869006738926153	32.5	29.5	36.0	25.5	39.5
40-41	34.910314121003395	35.5	33.0	39.5	29.0	42.5
42-43	35.19849709954231	35.0	33.0	40.0	30.0	43.0
44-45	34.832004015541926	35.0	33.0	40.0	29.0	42.5
46-47	35.31486899097404	36.0	34.0	40.0	31.0	43.0
48-49	35.24785555309698	35.5	34.0	40.0	31.0	43.0
50-51	34.18460907866059	35.0	32.5	39.5	28.0	42.5
52-53	35.1361739970576	35.5	34.0	40.0	31.0	43.0
54-55	35.157680962604005	36.0	34.0	40.0	30.0	43.0
56-57	34.92359969798981	35.5	34.0	40.0	30.5	42.5
58-59	34.92964328001986	35.5	34.0	40.0	30.0	42.5
60-61	34.74480927020397	35.5	34.0	40.0	30.0	42.0
62-63	33.20561381995035	34.5	31.5	39.0	25.5	42.0
64-65	34.45881169912263	35.0	33.5	40.0	29.5	42.0
66-67	34.46814338615133	35.0	34.0	40.0	29.0	42.0
68-69	34.3041795530542	35.0	34.0	40.0	29.0	42.0
70-71	34.19699830921587	35.0	33.5	39.5	29.0	42.0
72-73	33.481968347485136	35.0	32.5	39.0	26.5	41.0
74-75	33.273015468169284	35.0	32.5	38.5	26.0	41.5
76-77	33.47987330661185	35.0	33.0	38.5	27.5	41.0
78-79	33.70258386497599	35.0	33.0	39.0	28.0	41.5
80-81	33.647113421042405	35.0	33.0	39.0	27.0	42.0
82-83	33.53356794863349	35.0	33.0	39.0	26.0	41.5
84-85	33.33224302248917	35.0	33.0	39.0	24.5	41.5
86-87	33.10561770486893	35.0	33.0	39.0	23.0	41.0
88-89	32.796629861285886	35.0	33.0	39.0	19.5	41.0
90-91	32.59538995292492	35.0	33.0	39.0	12.0	41.0
92-93	32.28646179069973	35.0	33.0	39.0	2.0	41.0
94-95	31.081554293989242	34.5	31.0	37.5	2.0	41.0
96-97	31.015498009964535	34.0	32.5	38.0	2.0	40.5
98-99	29.649525730266163	33.5	30.5	37.0	2.0	40.0
100-101	28.04558839343978	33.0	27.5	36.0	2.0	39.0
>>END_MODULE
>>Per tile sequence quality	warn
#Tile	Base	Mean
1101	1	0.2917434679331343
1101	2	0.5777547293333143
1101	3	0.48802265172415105
1101	4	0.4640321964329317
1101	5	0.4649512314773716
1101	6	0.8335432369335862
1101	7	0.9293930648156703
1101	8	0.6434941640513969
1101	9	0.5888338713962753
1101	10-11	0.6354240900426404
1101	12-13	0.7042812942992001
1101	14-15	0.9265092130821699
1101	16-17	0.6790477412457179
1101	18-19	0.7615318638304558
1101	20-21	0.8522379379164704
1101	22-23	1.0342102954124357
1101	24-25	0.8615497241935515
1101	26-27	0.9064341639829152
1101	28-29	1.0579636601117173
1101	30-31	1.2373764620612562
1101	32-33	1.1378553599787367
1101	34-35	1.7147960644377669
1101	36-37	1.1806049224166415
1101	38-39	1.2521247475098285
1101	40-41	1.259791497244322
1101	42-43	1.0542185169502432
1101	44-45	1.2065134802851318
1101	46-47	1.1997294119244089
1101	48-49	1.091960796012053
1101	50-51	1.2093968916713465
1101	52-53	1.0497566550751074
1101	54-55	1.0635734335086582
1101	56-57	1.0132967385363472
1101	58-59	1.072363557317594
1101	60-61	1.1639254816360491
1101	62-63	1.4264093258038528
1101	64-65	1.1069683384865385
1101	66-67	1.2429214165304074
1101	68-69	1.0869555437696974
1101	70-71	1.1315781851226419
1101	72-73	1.2501092643677367
1101	74-75	1.2295442420783544
1101	76-77	0.968533626913235
1101	78-79	1.0266479433233684
1101	80-81	1.0840719278717046
1101	82-83	1.0998024890815117
1101	84-85	1.0723698618343178
1101	86-87	1.256310234484161
1101	88-89	1.3448173738041262
1101	90-91	1.3829623749729834
1101	92-93	1.2855484195033213
1101	94-95	1.4545533873527745
1101	96-97	1.5491892232001767
1101	98-99	1.6301210603842264
1101	100-101	1.5312281212102548
1102	1	0.2489703768360947
1102	2	0.3175948590420745
1102	3	0.5171543747902874
1102	4	0.5181887886043839
1102	5	0.48744883306898856
1102	6	1.0001046450382631
1102	7	1.0203024775507785
1102	8	0.6476187184430557
1102	9	0.5937634413820092
1102	10-11	0.6094372025217965
1102	12-13	0.7045522878951829
1102	14-15	0.9345852116519779
1102	16-17	0.9429932026782453
1102	18-19	0.9474026719259285
1102	20-21	0.8874952490794215
1102	22-23	1.1043255960188532
1102	24-25	0.928895792396844
1102	26-27	1.0841955196943118
1102	28-29	1.0114148901146578
1102	30-31	1.351737706613953
1102	32-33	1.0039370864079658
1102	34-35	1.5013216114695744
1102	36-37	1.1333534453156844
1102	38-39	1.2479631992177396
1102	40-41	1.2527948709464312
1102	42-43	0.9967965492995532
1102	44-45	0.9275700898030053
1102	46-47	0.9968888467850547
1102	48-49	0.9462731519747933
1102	50-51	1.198914165521792
1102	52-53	1.0017596358276606
1102	54-55	0.8669597029304583
1102	56-57	1.0668683314689176
1102	58-59	0.9659846760556263
1102	60-61	1.063408629055857
1102	62-63	1.3682846510492723
1102	64-65	1.120578199750561
1102	66-67	1.2257095175927901
1102	68-69	1.0675351620776041
1102	70-71	0.7941307996532814
1102	72-73	1.041335868823289
1102	74-75	1.1100909375849213
1102	76-77	0.9660504334722972
1102	78-79	1.2325674984053379
1102	80-81	1.1082569115341983
1102	82-83	1.001342426563589
1102	84-85	1.1014649450086438
1102	86-87	1.148199012057006
1102	88-89	1.1302336348359248
1102	90-91	1.1023344344889168
1102	92-93	1.2133598674339652
1102	94-95	1.4243702586954257
1102	96-97	1.3706651559243817
1102	98-99	1.4454207817794469
1102	100-101	1.3566015117985835
1103	1	0.2310327679387214
1103	2	0.3892391509838333
1103	3	0.3149720880956295
1103	4	0.23400218940680162
1103	5	0.4663749797875525
1103	6	0.5908354340393771
1103	7	0.6787135271712685
1103	8	0.41360668882964546
1103	9	0.5226438595479266
1103	10-11	0.5160808602719484
1103	12-13	0.41462558709343256
1103	14-15	0.6794556029148211
1103	16-17	0.6427759086069429
1103	18-19	0.5008496701969136
1103	20-21	0.5662565059804336
1103	22-23	0.5914895579139596
